#Name	TATA-box	Inr	CCAAT-box	GC-box
MIOS_1	0	1	1	1
NRN1_1	0	0	0	0
RNPC3_1	0	0	0	0
COL19A1_1	0	1	0	0
TJP1_3	0	0	0	0
GUF1_1	0	0	0	0
CABP1_1	0	0	0	0
NOV_1	1	0	0	0
TLR10_1	0	1	0	0
ZNF626_1	0	0	1	1
ATCAY_2	0	0	0	0
ZNF708_1	0	1	0	0
FAM78A_1	0	1	0	0
MME_1	0	0	0	0
BAG5_2	0	1	0	0
LRRTM4_1	0	1	0	0
ABCA3_1	0	1	0	0
FAM181A_1	0	0	0	1
ZNF248_1	0	0	0	0
SLC15A1_1	0	0	0	1
GSTO2_3	0	0	0	0
HCFC1R1_1	0	0	0	0
TRPC4_1	0	1	0	0
SH2D3C_5	0	0	0	1
FRZB_1	0	0	0	1
ABCD4_1	0	1	0	0
INPP5B_1	0	0	0	0
PHF15_3	0	1	0	0
MTM1_1	0	1	0	1
ADAT2_1	0	0	1	0
RAB3GAP1_1	0	0	0	1
SLC13A5_1	0	0	0	1
STARD3NL_1	0	0	0	0
CCKAR_1	0	0	0	0
CAST_2	0	0	0	0
IL11_1	1	1	0	0
ARHGDIA_2	0	0	0	1
C2_1	0	1	0	0
TEX2_1	0	0	1	1
HP_1	0	0	0	0
TRIP11_2	0	0	0	0
DAB1_1	0	0	0	1
TESPA1_1	0	0	0	0
ZNF783_1	0	1	0	0
ATOX1_1	0	1	0	1
NDRG1_1	1	1	0	1
PCDH10_1	0	1	1	0
DLX5_1	0	1	1	1
VPS39_1	0	0	0	0
TREML2_1	0	0	0	1
AMY1B_1	0	0	0	0
PCDHA3_1	0	1	0	0
SCEL_1	0	0	0	0
KCNJ11_1	0	0	0	0
SEMA6A_1	0	0	0	1
CGB1_1	0	1	1	0
WBP1L_2	0	1	0	0
E2F5_1	0	1	0	1
UBAP2L_3	0	0	0	0
RAPGEFL1_1	0	0	0	1
NDUFS1_1	0	1	0	1
SLC18A1_1	0	0	0	0
PRRC2B_1	0	0	0	0
MARCH5_1	0	0	0	0
ARHGAP23_1	0	1	0	1
ZYX_1	0	1	0	1
CDC42EP3_1	0	0	0	1
DBF4B_1	0	0	1	0
TRIM7_1	0	1	1	1
CRISPLD2_1	1	1	0	1
SFRP4_1	1	0	0	1
C2orf76_1	0	0	1	1
ZNF219_1	0	1	0	0
HSPB1_1	1	0	0	1
PLEKHG3_2	0	0	0	0
PPP1R1A_1	0	0	0	0
OCLN_1	0	0	0	1
FOXM1_1	0	1	0	1
PDDC1_1	0	1	0	1
IER2_1	0	0	0	1
GLB1L3_1	0	0	0	0
ANKRD20A4_1	0	0	0	1
SLC16A13_1	0	0	0	1
PCCA_1	0	1	0	1
MAP2_2	0	1	1	0
SPRED3_1	0	0	0	1
ERVMER34-1_1	0	1	1	0
POTEH_1	0	0	0	1
RBM26_3	0	0	0	0
LRP5_1	0	0	0	1
ZNF165_2	0	1	0	0
NR5A2_1	0	1	0	0
ENO2_2	0	0	0	0
BEND6_1	0	0	0	0
ITIH1_2	0	0	0	0
KPNA6_3	0	0	0	0
ZNF644_1	0	0	1	0
CDC42BPB_1	0	0	0	1
ASB2_1	0	1	0	0
TTC26_1	0	0	0	0
ROBO4_1	0	0	0	1
SMC1B_2	0	0	0	0
WASF3_1	0	0	1	1
VHL_1	0	0	0	0
DLG2_1	0	0	0	0
GULP1_3	0	0	0	0
AGBL5_1	0	1	1	0
C1orf101_1	0	1	0	0
HDAC6_4	0	0	0	1
DNASE2_1	0	0	0	1
RCL1_1	0	0	1	1
HFM1_1	0	1	1	0
METRN_1	0	0	0	1
UTP14A_1	0	0	0	1
PHF16_2	1	0	0	0
TRPV3_1	0	0	0	1
KANK1_4	0	1	1	0
MRPL38_1	0	0	0	1
PIM1_1	0	0	0	1
TGFBR3_2	0	0	0	1
IFT140_2	0	0	0	0
UROD_1	0	1	0	1
MYBPH_1	1	1	0	1
CHMP2A_2	0	0	0	1
CACTIN_1	0	1	0	0
BLOC1S5_1	0	0	1	1
HPS1_1	0	0	0	1
PRRC1_1	0	0	0	1
HNRNPH1_1	0	0	0	1
VSIG10_1	0	0	0	1
SNUPN_2	0	0	0	1
CLPSL2_1	0	0	0	0
FOXP3_1	0	0	0	0
PSMA5_1	0	1	1	0
TRAPPC10_1	0	0	0	1
RERE_3	0	0	0	1
HKDC1_1	1	0	1	1
C4orf6_1	0	0	0	0
COX11_1	0	1	0	0
